Temperature,Simulations,Return,Discounted Return
1,34,1.0,0.8683052775100066
1,61,1.0,0.9821344612135428
1,44,1.0,0.837556937769312
1,89,1.0,0.9502058312852957
1,44,1.0,0.9762504936564125
1,47,1.0,0.9645880999032158
1,23,1.0,0.9791880578299021
1,65,1.0,0.9445131481500655
1,44,1.0,0.9304302024748964
1,74,1.0,0.9674905716180701
1,48,1.0,0.9762504936564125
1,13,0.0,0.0
1,86,1.0,0.9674905716180701
1,82,1.0,0.985089730404757
1,56,1.0,0.9276389118674717
1,26,1.0,0.8814479033836181
1,78,1.0,0.9645880999032158
1,72,1.0,0.9559328248389055
1,88,1.0,0.9304302024748964
1,75,1.0,0.9791880578299021
1,97,1.0,0.9791880578299021
1,94,1.0,0.9733217421754432
1,20,1.0,0.860513950810667
1,72,1.0,0.9445131481500655
1,29,1.0,0.9276389118674717
1,10,0.0,0.0
1,88,1.0,0.985089730404757
1,59,1.0,0.9056079456455165
1,44,1.0,0.8921050870283477
1,1,0.0,0.0
1,93,1.0,0.9616943356035061
1,91,1.0,0.985089730404757
1,75,1.0,0.9388545698794984
1,97,1.0,0.9791880578299021
1,44,1.0,0.93603800616986
1,27,1.0,0.8788035596734672
1,40,1.0,0.9248559951318693
1,13,0.0,0.0
1,4,0.0,0.0
1,35,1.0,0.8152123778407558
1,98,1.0,0.9762504936564125
1,58,1.0,0.9276389118674717
1,86,1.0,0.9762504936564125
1,2,0.0,0.0
1,58,1.0,0.9762504936564125
1,59,1.0,0.9616943356035061
1,26,0.0,0.0
1,86,1.0,0.9733217421754432
1,74,1.0,0.9762504936564125
1,41,1.0,0.9388545698794984
1,45,1.0,0.7607805594527743
1,54,1.0,0.9502058312852957
1,79,1.0,0.9588092525966956
1,37,1.0,0.9559328248389055
1,45,1.0,0.9248559951318693
1,61,1.0,0.9248559951318693
1,31,1.0,0.9276389118674717
1,13,0.0,0.0
1,68,1.0,0.9645880999032158
1,16,1.0,0.9559328248389055
1,67,1.0,0.9791880578299021
1,19,1.0,0.9530650263643888
1,85,1.0,0.9674905716180701
1,64,1.0,0.985089730404757
1,71,1.0,0.9588092525966956
1,77,1.0,0.9791880578299021
1,16,1.0,0.8735386475474635
1,1,0.0,0.0
1,14,0.0,0.0
1,1,0.0,0.0
1,99,1.0,0.9473552137914398
1,84,1.0,0.9530650263643888
1,22,0.0,0.0
1,65,1.0,0.9791880578299021
1,41,1.0,0.7887102894272789
1,19,1.0,0.8152123778407558
1,12,1.0,0.8814479033836181
1,13,0.0,0.0
1,99,1.0,0.985089730404757
1,12,1.0,0.9762504936564125
1,84,1.0,0.9762504936564125
1,49,1.0,0.9304302024748964
1,48,1.0,0.9416796087056153
1,87,1.0,0.985089730404757
1,10,0.0,0.0
1,87,1.0,0.9388545698794984
1,58,1.0,0.860513950810667
1,17,0.0,0.0
1,72,1.0,0.9588092525966956
1,99,1.0,0.9791880578299021
1,74,1.0,0.9502058312852957
1,36,1.0,0.985089730404757
1,59,1.0,0.8921050870283477
1,79,1.0,0.9056079456455165
1,4,0.0,0.0
1,86,1.0,0.9762504936564125
1,73,1.0,0.9674905716180701
1,32,1.0,0.9674905716180701
1,3,0.0,0.0
1,95,1.0,0.9791880578299021
1,31,1.0,0.7630697687590515
1,99,1.0,0.9733217421754432
1,19,1.0,0.9193151828650342
1,82,1.0,0.9645880999032158
1,17,0.0,0.0
1,38,1.0,0.9645880999032158
1,95,1.0,0.9645880999032158
1,40,1.0,0.8709180316048211
1,76,1.0,0.9704017769489168
1,29,1.0,0.9616943356035061
1,48,1.0,0.9416796087056153
1,20,1.0,0.8553586117313603
1,34,1.0,0.9001824484431542
1,64,1.0,0.9704017769489168
1,96,1.0,0.9733217421754432
1,94,1.0,0.9588092525966956
1,46,1.0,0.9645880999032158
1,20,1.0,0.9473552137914398
1,27,1.0,0.9110661429076764
1,59,1.0,0.9821344612135428
1,9,0.0,0.0
1,9,0.0,0.0
1,80,1.0,0.9674905716180701
1,66,1.0,0.9616943356035061
1,65,1.0,0.9276389118674717
1,95,1.0,0.93603800616986
1,1,0.0,0.0
1,71,1.0,0.9616943356035061
1,89,1.0,0.985089730404757
1,53,1.0,0.9674905716180701
1,31,1.0,0.9388545698794984
1,38,1.0,0.9193151828650342
1,51,1.0,0.9645880999032158
1,44,1.0,0.9388545698794984
1,17,0.0,0.0
1,77,1.0,0.985089730404757
1,14,0.0,0.0
1,75,1.0,0.985089730404757
1,36,0.0,0.0
1,28,1.0,0.8553586117313603
1,92,1.0,0.9704017769489168
1,60,1.0,0.9733217421754432
1,34,1.0,0.8325391341551359
1,85,1.0,0.985089730404757
1,80,1.0,0.9616943356035061
1,39,1.0,0.7562227231210928
1,15,0.0,0.0
1,76,1.0,0.9530650263643888
1,99,1.0,0.9762504936564125
1,60,1.0,0.9762504936564125
1,41,1.0,0.9674905716180701
1,23,1.0,0.7653658663581259
1,54,1.0,0.9588092525966956
1,36,1.0,0.8867604854519608
1,50,1.0,0.985089730404757
1,5,0.0,0.0
1,99,1.0,0.9733217421754432
1,49,1.0,0.9588092525966956
1,42,1.0,0.8426049842298329
1,75,1.0,0.9473552137914398
1,46,1.0,0.9704017769489168
1,11,0.0,0.0
1,24,1.0,0.8788035596734672
1,50,1.0,0.9674905716180701
1,31,1.0,0.9645880999032158
1,18,1.0,0.8921050870283477
1,60,1.0,0.9645880999032158
1,72,1.0,0.9791880578299021
1,52,1.0,0.9276389118674717
1,93,1.0,0.9645880999032158
1,28,1.0,0.837556937769312
1,65,1.0,0.9733217421754432
1,7,0.0,0.0
1,61,1.0,0.9616943356035061
1,58,1.0,0.9473552137914398
1,59,1.0,0.9616943356035061
1,56,1.0,0.9332298921513504
1,71,1.0,0.9674905716180701
1,7,1.0,0.8657003616774767
1,100,1.0,0.9791880578299021
1,77,1.0,0.8709180316048211
1,62,1.0,0.9762504936564125
1,10,0.0,0.0
1,23,1.0,0.8657003616774767
1,73,1.0,0.9588092525966956
1,10,0.0,0.0
1,76,1.0,0.985089730404757
1,76,1.0,0.9733217421754432
1,67,1.0,0.9388545698794984
1,34,1.0,0.9530650263643888
1,92,1.0,0.985089730404757
1,58,1.0,0.9588092525966956
1,23,1.0,0.8502341582884777
1,81,1.0,0.9733217421754432
1,13,1.0,0.9001824484431542
1,83,1.0,0.985089730404757
1,9,0.0,0.0
1,6,0.0,0.0
1,37,1.0,0.93603800616986
1,42,1.0,0.9791880578299021
1,76,1.0,0.9791880578299021
1,54,1.0,0.9388545698794984
1,87,1.0,0.9530650263643888
1,40,1.0,0.835044266956004
1,37,1.0,0.93603800616986
1,83,1.0,0.9616943356035061
1,32,1.0,0.9138075656044898
1,16,1.0,0.8127667407072335
1,100,1.0,0.9821344612135428
1,85,1.0,0.9588092525966956
1,6,1.0,0.90289112180858
1,33,1.0,0.8867604854519608
1,65,1.0,0.9704017769489168
1,8,0.0,0.0
1,70,1.0,0.9616943356035061
1,22,1.0,0.9083329444789534
1,83,1.0,0.9138075656044898
1,25,1.0,0.8894287717672626
1,43,1.0,0.8451404054461714
1,5,0.0,0.0
1,50,1.0,0.9332298921513504
1,64,1.0,0.9674905716180701
1,50,1.0,0.9821344612135428
1,27,1.0,0.7584982177744161
1,19,1.0,0.9502058312852957
1,95,1.0,0.9704017769489168
1,53,1.0,0.9165572373164391
1,61,1.0,0.9304302024748964
1,62,1.0,0.9704017769489168
1,40,1.0,0.9616943356035061
1,15,1.0,0.8300415167526705
1,90,1.0,0.9138075656044898
1,85,1.0,0.9165572373164391
1,30,1.0,0.9276389118674717
1,82,1.0,0.9056079456455165
1,5,0.0,0.0
1,15,0.0,0.0
1,24,1.0,0.798246224976786
1,59,1.0,0.9083329444789534
1,4,0.0,0.0
1,18,1.0,0.8814479033836181
1,72,1.0,0.9674905716180701
1,47,1.0,0.9645880999032158
1,60,1.0,0.9138075656044898
1,73,1.0,0.9762504936564125
1,46,1.0,0.9220814271464737
1,80,1.0,0.9645880999032158
1,73,1.0,0.9502058312852957
1,94,1.0,0.985089730404757
1,23,1.0,0.8451404054461714
1,8,0.0,0.0
1,14,1.0,0.9056079456455165
1,61,1.0,0.9762504936564125
1,18,1.0,0.8225935318117279
1,1,0.0,0.0
1,68,1.0,0.985089730404757
1,7,0.0,0.0
1,47,1.0,0.9791880578299021
1,46,1.0,0.9445131481500655
1,70,1.0,0.9762504936564125
1,10,0.0,0.0
1,11,1.0,0.8325391341551359
1,37,1.0,0.9502058312852957
1,81,1.0,0.9762504936564125
1,89,1.0,0.9704017769489168
1,26,1.0,0.860513950810667
1,36,1.0,0.8814479033836181
1,60,1.0,0.9332298921513504
1,92,1.0,0.9304302024748964
1,99,1.0,0.9791880578299021
1,43,1.0,0.9473552137914398
1,32,1.0,0.8152123778407558
1,34,1.0,0.9388545698794984
1,60,1.0,0.9645880999032158
1,33,1.0,0.8761671489944468
1,60,1.0,0.9762504936564125
1,45,1.0,0.9388545698794984
1,97,1.0,0.9733217421754432
1,95,1.0,0.9645880999032158
1,9,0.0,0.0
1,69,1.0,0.9530650263643888
1,95,1.0,0.9791880578299021
1,77,1.0,0.9791880578299021
1,84,1.0,0.9821344612135428
1,21,1.0,0.8250687380258053
1,63,1.0,0.9674905716180701
1,40,1.0,0.9762504936564125
1,56,1.0,0.9502058312852957
1,8,0.0,0.0
1,14,1.0,0.9388545698794984
1,76,1.0,0.9674905716180701
1,14,0.0,0.0
1,33,1.0,0.8921050870283477
1,33,1.0,0.803057341509771
1,62,1.0,0.9645880999032158
1,80,1.0,0.9193151828650342
1,5,0.0,0.0
1,10,0.0,0.0
1,1,0.0,0.0
1,51,1.0,0.9791880578299021
1,6,0.0,0.0
1,92,1.0,0.9616943356035061
1,73,1.0,0.9559328248389055
1,35,1.0,0.8974819010978248
1,20,0.0,0.0
1,49,1.0,0.9445131481500655
1,90,1.0,0.9530650263643888
1,78,1.0,0.9791880578299021
1,90,1.0,0.9473552137914398
1,41,1.0,0.7746195551602378
1,92,1.0,0.9388545698794984
1,4,0.0,0.0
1,93,1.0,0.985089730404757
1,1,0.0,0.0
1,43,1.0,0.9733217421754432
1,35,1.0,0.8400771692771434
1,22,1.0,0.8867604854519608
1,44,1.0,0.9704017769489168
1,75,1.0,0.9248559951318693
1,84,1.0,0.9616943356035061
1,99,1.0,0.9704017769489168
1,33,1.0,0.884100203995605
1,88,1.0,0.9821344612135428
1,35,1.0,0.8451404054461714
1,74,1.0,0.985089730404757
1,89,1.0,0.9821344612135428
1,84,1.0,0.8921050870283477
1,1,0.0,0.0
1,44,1.0,0.9248559951318693
1,73,1.0,0.9733217421754432
1,62,1.0,0.9762504936564125
1,62,1.0,0.9332298921513504
1,57,1.0,0.9445131481500655
1,93,1.0,0.9588092525966956
1,68,1.0,0.9762504936564125
1,78,1.0,0.9733217421754432
1,74,1.0,0.9248559951318693
1,56,1.0,0.985089730404757
1,26,1.0,0.9304302024748964
1,46,1.0,0.9704017769489168
1,73,1.0,0.9791880578299021
1,62,1.0,0.9733217421754432
1,64,1.0,0.985089730404757
1,44,1.0,0.93603800616986
1,30,1.0,0.7958514863018556
1,97,1.0,0.9821344612135428
1,37,1.0,0.7722956964947572
1,93,1.0,0.9559328248389055
1,95,1.0,0.9791880578299021
1,93,1.0,0.9733217421754432
1,100,1.0,0.9762504936564125
1,47,1.0,0.9276389118674717
1,77,1.0,0.985089730404757
1,88,1.0,0.9445131481500655
1,80,1.0,0.9645880999032158
1,93,1.0,0.985089730404757
1,14,0.0,0.0
1,74,1.0,0.9821344612135428
1,82,1.0,0.9791880578299021
1,85,1.0,0.9332298921513504
1,58,1.0,0.9733217421754432
1,96,1.0,0.9704017769489168
1,91,1.0,0.9473552137914398
1,76,1.0,0.9559328248389055
1,47,1.0,0.8788035596734672
1,50,1.0,0.9616943356035061
1,51,1.0,0.9530650263643888
1,56,1.0,0.9588092525966956
1,75,1.0,0.9473552137914398
1,32,0.0,0.0
1,60,1.0,0.9645880999032158
1,46,1.0,0.9588092525966956
1,81,1.0,0.9791880578299021
1,69,1.0,0.985089730404757
1,1,0.0,0.0
1,28,1.0,0.7539540549517295
1,27,0.0,0.0
1,81,1.0,0.9821344612135428
1,23,0.0,0.0
1,23,1.0,0.884100203995605
1,40,1.0,0.9588092525966956
1,66,1.0,0.9502058312852957
1,89,1.0,0.985089730404757
1,74,1.0,0.985089730404757
1,70,1.0,0.9791880578299021
1,27,1.0,0.884100203995605
1,18,0.0,0.0
1,59,1.0,0.9791880578299021
1,90,1.0,0.9704017769489168
1,9,0.0,0.0
1,96,1.0,0.9138075656044898
1,75,1.0,0.9110661429076764
1,61,1.0,0.9616943356035061
1,79,1.0,0.985089730404757
1,98,1.0,0.9704017769489168
1,23,1.0,0.7607805594527743
1,56,1.0,0.985089730404757
1,69,1.0,0.9704017769489168
1,22,1.0,0.9502058312852957
1,11,0.0,0.0
1,5,0.0,0.0
1,89,1.0,0.9733217421754432
1,16,1.0,0.8300415167526705
1,73,1.0,0.9704017769489168
1,91,1.0,0.9165572373164391
1,80,1.0,0.9559328248389055
1,100,1.0,0.9588092525966956
1,26,1.0,0.9588092525966956
1,86,1.0,0.9821344612135428
1,28,1.0,0.8300415167526705
1,10,0.0,0.0
1,58,1.0,0.9791880578299021
1,58,1.0,0.9083329444789534
1,28,1.0,0.8250687380258053
1,68,1.0,0.985089730404757
1,95,1.0,0.9388545698794984
1,40,0.0,0.0
1,96,1.0,0.9083329444789534
1,32,1.0,0.90289112180858
1,83,1.0,0.9791880578299021
1,90,1.0,0.9473552137914398
1,100,1.0,0.9733217421754432
1,26,1.0,0.8894287717672626
1,80,1.0,0.9588092525966956
1,57,1.0,0.9616943356035061
1,12,1.0,0.8974819010978248
1,43,1.0,0.9530650263643888
1,58,1.0,0.9791880578299021
1,95,1.0,0.9762504936564125
1,46,1.0,0.9616943356035061
1,69,1.0,0.9762504936564125
1,57,1.0,0.9530650263643888
1,1,0.0,0.0
1,91,1.0,0.9445131481500655
1,26,1.0,0.8974819010978248
1,51,1.0,0.9248559951318693
1,59,1.0,0.9304302024748964
1,77,1.0,0.9791880578299021
1,96,1.0,0.9276389118674717
1,39,1.0,0.9762504936564125
1,2,0.0,0.0
1,1,0.0,0.0
1,18,1.0,0.8947894553945313
1,69,1.0,0.9821344612135428
1,71,1.0,0.9416796087056153
1,13,1.0,0.9445131481500655
1,66,1.0,0.9791880578299021
1,17,1.0,0.9110661429076764
1,91,1.0,0.9733217421754432
1,43,1.0,0.9332298921513504
1,45,1.0,0.9559328248389055
1,45,1.0,0.9304302024748964
1,81,1.0,0.9762504936564125
1,46,1.0,0.9473552137914398
1,75,1.0,0.9674905716180701
1,69,1.0,0.9821344612135428
1,99,1.0,0.9704017769489168
1,91,1.0,0.9559328248389055
1,89,1.0,0.9762504936564125
1,37,1.0,0.9388545698794984
1,20,1.0,0.8867604854519608
1,31,1.0,0.9304302024748964
1,22,1.0,0.8451404054461714
1,54,1.0,0.9645880999032158
1,17,0.0,0.0
1,8,0.0,0.0
1,31,1.0,0.8426049842298329
1,95,1.0,0.9138075656044898
1,54,1.0,0.9762504936564125
1,5,0.0,0.0
1,1,0.0,0.0
1,50,1.0,0.9645880999032158
1,1,0.0,0.0
1,39,1.0,0.835044266956004
1,18,1.0,0.8788035596734672
1,98,1.0,0.985089730404757
1,49,1.0,0.9502058312852957
1,52,1.0,0.9733217421754432
1,36,1.0,0.9138075656044898
1,86,1.0,0.9645880999032158
1,24,1.0,0.9056079456455165
1,95,1.0,0.9276389118674717
1,75,1.0,0.9704017769489168
1,18,1.0,0.7607805594527743
1,13,1.0,0.7539540549517295
1,23,1.0,0.8201257512162927
1,50,1.0,0.9416796087056153
1,75,1.0,0.9559328248389055
1,86,1.0,0.9704017769489168
1,56,1.0,0.9616943356035061
1,59,1.0,0.8761671489944468
1,70,1.0,0.9791880578299021
1,98,1.0,0.9821344612135428
1,49,1.0,0.9588092525966956
1,69,1.0,0.9791880578299021
1,99,1.0,0.9821344612135428
1,5,0.0,0.0
1,21,1.0,0.857932408958235
1,21,1.0,0.776950406379376
1,90,1.0,0.985089730404757
1,43,1.0,0.9733217421754432
1,20,1.0,0.9220814271464737
1,4,0.0,0.0
1,2,0.0,0.0
1,74,1.0,0.985089730404757
1,3,0.0,0.0
1,37,1.0,0.9645880999032158
1,99,1.0,0.9559328248389055
1,100,1.0,0.9762504936564125
1,98,1.0,0.9616943356035061
1,87,1.0,0.9821344612135428
1,40,1.0,0.884100203995605
1,98,1.0,0.9762504936564125
1,28,1.0,0.8947894553945313
1,37,1.0,0.9248559951318693
1,49,1.0,0.9733217421754432
1,87,1.0,0.8974819010978248
1,48,1.0,0.9588092525966956
1,69,1.0,0.9821344612135428
1,44,1.0,0.90289112180858
1,71,1.0,0.9559328248389055
1,7,0.0,0.0
1,5,0.0,0.0
1,100,1.0,0.985089730404757
1,52,1.0,0.9791880578299021
1,62,1.0,0.9473552137914398
1,12,0.0,0.0
1,99,1.0,0.9821344612135428
1,58,1.0,0.9416796087056153
1,98,1.0,0.9791880578299021
1,56,1.0,0.9473552137914398
1,39,1.0,0.8657003616774767
1,99,1.0,0.9821344612135428
1,91,1.0,0.9559328248389055
1,3,0.0,0.0
1,63,1.0,0.9083329444789534
1,97,1.0,0.9588092525966956
1,10,0.0,0.0
1,86,1.0,0.9762504936564125
1,82,1.0,0.9821344612135428
1,99,1.0,0.9791880578299021
1,89,1.0,0.9388545698794984
1,95,1.0,0.9821344612135428
1,27,1.0,0.8325391341551359
1,51,1.0,0.9388545698794984
1,95,1.0,0.9502058312852957
1,69,1.0,0.9220814271464737
1,67,1.0,0.9616943356035061
1,77,1.0,0.9445131481500655
1,37,1.0,0.8974819010978248
1,2,0.0,0.0
1,28,1.0,0.8657003616774767
1,84,1.0,0.93603800616986
1,83,1.0,0.9762504936564125
1,5,0.0,0.0
1,93,1.0,0.9733217421754432
1,46,1.0,0.9530650263643888
1,50,1.0,0.9416796087056153
1,55,1.0,0.9193151828650342
1,93,1.0,0.9674905716180701
1,90,1.0,0.9645880999032158
1,33,0.0,0.0
1,70,1.0,0.985089730404757
1,79,1.0,0.8078974551636565
1,5,0.0,0.0
1,89,1.0,0.9762504936564125
1,53,1.0,0.985089730404757
1,100,1.0,0.9791880578299021
1,16,0.0,0.0
1,69,1.0,0.9821344612135428
1,14,1.0,0.8400771692771434
1,67,1.0,0.9616943356035061
1,23,1.0,0.9332298921513504
1,93,1.0,0.9110661429076764
1,72,1.0,0.9791880578299021
1,52,1.0,0.9445131481500655
1,95,1.0,0.9704017769489168
1,95,1.0,0.9791880578299021
1,80,1.0,0.9762504936564125
1,40,1.0,0.8400771692771434
1,72,1.0,0.93603800616986
1,31,1.0,0.9704017769489168
1,92,1.0,0.9733217421754432
1,77,1.0,0.9791880578299021
1,37,1.0,0.9821344612135428
1,7,0.0,0.0
1,71,1.0,0.9762504936564125
1,82,1.0,0.9530650263643888
1,32,1.0,0.9502058312852957
1,61,1.0,0.9473552137914398
1,14,1.0,0.8400771692771434
1,64,1.0,0.9733217421754432
1,69,1.0,0.9821344612135428
1,7,0.0,0.0
1,89,1.0,0.9821344612135428
1,59,1.0,0.9821344612135428
1,44,1.0,0.9821344612135428
1,44,1.0,0.9791880578299021
1,9,0.0,0.0
1,14,1.0,0.9276389118674717
1,44,1.0,0.9791880578299021
1,21,1.0,0.9616943356035061
1,65,1.0,0.9733217421754432
1,7,0.0,0.0
1,68,1.0,0.9791880578299021
1,35,1.0,0.90289112180858
1,68,1.0,0.9733217421754432
1,99,1.0,0.985089730404757
1,88,1.0,0.9674905716180701
1,74,1.0,0.9473552137914398
1,31,1.0,0.9559328248389055
1,67,1.0,0.9616943356035061
1,38,1.0,0.9445131481500655
1,46,1.0,0.8735386475474635
1,76,1.0,0.9762504936564125
1,45,1.0,0.9559328248389055
1,36,1.0,0.9276389118674717
1,76,1.0,0.9733217421754432
